acorn
advance
appeal
argus
banner
beacon
beaver
bee
breeze
brief
bugle
bulletin
blog
cbs
call
camera
chronicle
citizen
constitution
courier
current
daily
discovery
dispatch
eagle
echo
enterprise
examiner
exponent
express
eye
forum
gazette
globe
guardian
guide
herald
hive
humbug
inquirer
independent
intelligencer
islander
journal
juggernaut
leader
ledger
local
life
magazine
media
medium
mercury
messenger
meteor
minute
mirror
monitor
mosquito
news
newsday
observer
oracle
oregonian
pantagraph
picayune
pilot
pioneer
planet
press
province
post
radio
rag
record
recorder
reflector
repository
republic
review
seaside
signal
sentinel
sentry
standard
star
statesman
straight
sun
tabloid
telegraph
the
time
today
tribune
union
universe
vanguard
variety
vindicator
visionary
voice
watchmen
weekly
whigs
world
zeitung
zephyr
